event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_69EEE49AD2,334.15,3.17,,day,,,,,,,,0.0,0.0,0.0,0.0,43.16,51.7,4.58,0.23,0.33,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_C687DA77F3,330.31,1.23,,day,,,,,,1.3095,,0.0,,0.0,,14.44,83.18,2.36,0.03,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_39631DC4C5,342.68,2.71,,day,,,,,,,,,0.0,0.0,0.0,64.05,7.26,28.51,0.07,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_C17A6D6A5D,334.53,7.75,,day,,,,,,0.2708,,0.0,,0.0,0.0,48.26,7.34,43.53,0.87,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_8CC37B5573,335.71,4.21,,day,,,,,,,,0.0,0.0,,,53.27,6.83,39.61,0.29,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_193821AD3A,342.55,3.16,,day,,,,,,0.9714,0.0,0.0,0.0,0.0,0.0,84.87,0.72,14.41,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_08D134FB5B,348.9,5.79,,day,,,,,,1.0643,0.0,,0.0,0.0,,48.09,9.42,42.49,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_B3997CCAE3,331.91,0.85,,day,,,,,,0.4711,0.0,0.0,0.0,,0.0,53.07,20.7,26.21,0.03,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_11DF1427DC,336.85,2.93,,day,,,,,,,,0.0,,0.0,0.0,54.25,4.2,41.46,0.08,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_380D93FDD4,331.95,2.46,,day,,,,,,0.9071,,,0.0,0.0,,54.76,12.7,32.55,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_057DC3B608,334.86,5.44,,day,,,,,,,,0.0,0.0,,,39.26,8.7,52.04,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:not_found,osm_partial_failure,,,data_invalid
