event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_C687DA77F3,330.31,1.23,50.0,day,5.0,,5.0,,5.0,1.3095,0.0,0.0,0.0,0.0,0.0,14.44,83.18,2.36,0.03,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,2,2.0,proxy_verified
FIRMS_AE388204E0,335.05,13.03,50.0,day,,,,,,,,,,0.0,0.0,71.15,0.47,28.38,0.0,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:query_failed; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:not_found,osm_partial_failure,1,1.0,proxy_verified
FIRMS_020D4BF618,345.55,12.36,50.0,day,,,,,,,0.0,,0.0,0.0,0.0,80.96,3.05,16.0,0.0,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,1,1.0,proxy_verified
FIRMS_D542A91A41,340.16,11.09,50.0,day,,,,,,,,0.0,,,,15.94,72.91,9.0,0.6,0.25,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,2,2.0,proxy_verified
FIRMS_A8326B9B5D,344.78,12.39,50.0,day,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,2,2.0,proxy_verified
FIRMS_D75A784BA1,333.99,6.03,20.0,day,,,,,,,0.0,0.0,0.0,,0.0,6.07,89.77,2.44,1.71,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,2,2.0,proxy_verified
FIRMS_3FBCD3B520,335.03,5.18,20.0,day,,,,,,0.289,0.0,0.0,0.0,0.0,,9.62,88.34,1.04,0.21,0.78,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,2,2.0,proxy_verified
FIRMS_5BC9E431F5,333.2,6.09,20.0,day,,,2.1278,,,0.0797,,0.0,1.0,0.0,0.0,0.06,96.87,2.4,0.0,0.5,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:query_failed; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,2,2.0,proxy_verified
FIRMS_2666FD5ACB,333.78,6.13,20.0,day,,,,,,0.3297,,0.0,,,0.0,23.39,75.53,1.07,0.0,0.0,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,2,2.0,proxy_verified
FIRMS_05E010FDE5,333.5,7.83,20.0,day,,,,,,0.5894,0.0,,0.0,0.0,0.0,21.28,75.26,3.27,0.01,0.02,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,2,2.0,proxy_verified
FIRMS_173BE28DF1,334.63,6.24,20.0,day,,,,,,,0.0,,,,,20.84,75.43,3.41,0.15,0.02,0,0,0,,,,0,0.0,0.0,1.0,0.0,1.0,industrial:not_found; refinery:query_failed; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,2,2.0,proxy_verified
