event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
SYN_PTS_001,346.2362,11.295,50,day,3.6912,3.1305,2.96,,0.7067,1.0087,1.0,1,1,0.0,1,16.04,4.1155,22.454,25.3174,15.0,5,20,82,8.9057,11.2859,344.6295,26,0.8667,-1.2736,1.006,-0.3969,0.9953,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_002,363.5214,21.3698,50,night,4.0636,,,,2.6254,0.9733,1.0,0,0,0.0,1,16.0027,13.6858,18.4024,51.3532,0.5559,7,24,76,19.287,27.2268,365.9188,24,0.8,1.6338,1.0672,0.2386,1.0236,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_003,356.9598,8.9285,80,day,1.6356,0.8747,,,,0.3877,1.0,1,0,0.0,0,2.7329,15.4288,12.7382,48.3024,15.0,7,23,75,7.4042,11.3383,356.2631,29,0.9667,0.3336,0.9754,-1.379,1.019,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_004,352.9598,32.5517,80,day,0.7622,1.9709,2.5733,,,0.896,1.0,1,1,0.0,0,10.394,12.5006,25.3449,59.4862,0.0,6,29,60,30.5158,37.375,353.2211,26,0.8667,-0.3966,0.9755,-1.2723,0.9905,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_005,339.6806,14.9871,80,night,1.2573,1.5608,,,3.4044,0.8271,1.0,1,0,0.0,1,2.0936,19.3191,22.1183,53.0782,3.3908,3,27,55,13.1065,16.6343,342.1194,28,0.9333,-0.152,1.038,1.4471,0.9856,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_006,339.6798,25.8881,50,day,2.0939,1.476,,,4.4034,1.2509,1.0,1,0,0.0,1,11.441,8.7477,9.0654,56.1566,14.5893,3,20,59,24.5987,30.6877,340.4252,20,0.6667,1.7891,0.9924,1.7845,0.9928,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_007,336.7425,16.4162,80,night,3.7357,,3.2881,,2.5652,1.2884,1.0,0,1,0.0,1,9.3891,7.1428,27.7732,32.6916,15.0,4,29,66,14.4564,21.0178,334.4439,26,0.8667,-1.3866,0.9559,-0.5068,1.0054,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_008,360.9853,22.0418,50,night,3.9151,,3.3099,,1.7918,0.1383,1.0,0,1,0.0,1,17.8664,17.6348,25.5634,27.9848,10.9506,6,20,80,24.4224,29.9962,363.6243,25,0.8333,0.3449,0.9924,-0.917,0.9861,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_009,353.0335,22.7612,50,night,0.3292,4.0682,,,3.6807,0.7805,1.0,1,0,0.0,1,7.6674,6.0247,28.745,53.7777,3.7852,4,23,88,20.2426,25.0721,353.7997,29,0.9667,0.0236,0.9425,0.576,1.0074,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_010,356.2422,12.9911,80,day,2.4451,3.0246,,,1.5833,1.2704,1.0,1,0,0.0,1,3.2243,19.338,23.143,56.3076,0.0,4,27,68,13.1382,17.6092,355.2516,28,0.9333,0.4458,0.9482,-0.3651,0.9946,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_011,335.6175,34.1788,80,day,2.0531,,3.7374,,,1.0311,1.0,0,1,0.0,0,3.7168,2.2188,20.3354,64.5727,9.1563,4,24,80,33.6412,37.7344,333.4531,20,0.6667,-1.9276,0.9997,-1.8985,1.0031,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
