event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
SYN_IND_001,348.43,38.54,50.0,day,1.8302,,1.1826,,,0.9021,1.0,0.0,1.0,0.0,0.0,20.03,8.96,48.48,17.44,5.08,1,16,24,36.1356,65.2053,341.5055,16,0.5333,2.4044,1.088,6.9245,1.0142,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_002,356.57,34.87,50.0,day,1.9182,,3.8573,,,1.3494,1.0,0.0,1.0,0.0,0.0,5.2,24.16,45.18,22.08,3.38,6,14,55,39.6839,47.5003,360.4782,11,0.3667,-4.8139,0.8572,-3.9082,0.9734,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_003,347.76,25.43,50.0,night,3.3446,,,,,0.4211,1.0,0.0,0.0,0.0,0.0,1.65,11.96,16.71,60.6,9.09,8,12,17,31.115,59.2461,346.5052,10,0.3333,-5.685,0.9343,1.2548,1.0395,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_004,350.22,25.56,50.0,night,3.2915,0.9297,,,,0.2723,1.0,1.0,0.0,0.0,0.0,33.41,5.64,38.17,19.83,2.96,7,35,46,24.2953,29.8713,342.4012,30,1.0,1.2647,0.8567,7.8188,0.9819,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_005,350.59,13.73,50.0,night,0.8593,,,,,1.1215,1.0,0.0,0.0,0.0,0.0,43.11,13.85,18.8,20.75,3.49,4,11,41,17.4225,23.6563,354.6125,8,0.2667,-3.6925,0.6724,-4.0225,1.02,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_006,349.58,12.98,50.0,day,4.3941,,,,,0.7277,0.0,0.0,0.0,0.0,0.0,4.15,23.65,10.36,54.27,7.57,2,20,37,13.2943,25.0061,349.4204,13,0.4333,-0.3143,1.0213,0.1596,1.0037,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_007,344.8,38.64,50.0,day,0.981,,,,,0.2027,1.0,0.0,0.0,0.0,0.0,6.68,28.31,45.45,16.02,3.55,2,33,67,27.6613,37.5156,338.797,29,0.9667,10.9787,0.7539,6.003,0.9719,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_008,336.27,16.21,50.0,night,1.499,,,,,1.3188,1.0,0.0,0.0,0.0,0.0,8.06,7.88,13.52,67.77,2.77,5,25,68,10.2849,14.7717,335.0788,15,0.5,5.9251,0.7415,1.1912,1.045,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_009,336.2,51.47,50.0,night,4.9694,,,,,0.9816,0.0,0.0,0.0,0.0,0.0,18.03,12.97,14.06,47.72,7.22,4,31,62,53.9248,72.2494,330.017,18,0.6,-2.4548,1.0801,6.183,1.0075,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_010,340.35,25.27,50.0,day,2.463,,,,,1.3787,1.0,0.0,0.0,0.0,0.0,18.05,21.45,22.26,32.74,5.49,7,13,45,26.3577,35.8291,341.9036,9,0.3,-1.0877,0.8322,-1.5536,1.0325,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
SYN_IND_011,354.8,14.21,50.0,day,3.6267,,4.3479,,,1.2113,0.0,0.0,1.0,0.0,0.0,20.19,18.02,31.2,28.97,1.61,5,28,30,14.655,18.3797,354.1444,10,0.3333,-0.445,1.1652,0.6556,1.0119,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,0,0,synthetic
