latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,event_id,brightness,day_night
28.49807,97.02458,332.79,0.5,0.41,2026-08-31,631,N,VIIRS,n,2.0NRT,292.86,5.45,D,,,
8.60547,80.44852,,,,2026-08-05,756,N,VIIRS,50.0,,,5.58,,FIRMS_BD4C6D1A85,336.24,day
8.89853,79.95344,,,,2026-08-05,756,N,VIIRS,50.0,,,2.36,,FIRMS_371DD09F55,332.44,day
9.11885,77.59209,,,,2026-08-05,756,N,VIIRS,50.0,,,11.22,,FIRMS_A5ECA4F7AD,351.96,day
9.47616,78.53864,,,,2026-08-05,756,N,VIIRS,50.0,,,4.1,,FIRMS_0BF0CC7082,335.0,day
9.49282,78.58743,,,,2026-08-05,756,N,VIIRS,50.0,,,2.54,,FIRMS_AF9697E000,338.87,day
9.56233,77.6048,,,,2026-08-05,756,N,VIIRS,50.0,,,3.81,,FIRMS_D77ECE7AE5,340.82,day
9.62131,78.80132,,,,2026-08-05,756,N,VIIRS,50.0,,,12.57,,FIRMS_BFC28FAE62,347.9,day
9.62481,78.86961,,,,2026-08-05,756,N,VIIRS,50.0,,,3.43,,FIRMS_EB51D8DB45,338.14,day
9.7414,78.95979,,,,2026-08-05,756,N,VIIRS,50.0,,,1.9,,FIRMS_0D17070F3D,331.18,day
9.76804,78.0972,,,,2026-08-05,756,N,VIIRS,50.0,,,2.63,,FIRMS_94D7677D59,337.65,day
9.87739,78.25546,,,,2026-08-05,756,N,VIIRS,50.0,,,4.92,,FIRMS_E7C3A25EAC,330.53,day
9.88149,78.25475,,,,2026-08-05,756,N,VIIRS,50.0,,,5.39,,FIRMS_BE496E5671,333.28,day
9.96715,78.24461,,,,2026-08-05,756,N,VIIRS,50.0,,,4.27,,FIRMS_5F154DEF2F,347.06,day
10.0521,77.96274,,,,2026-08-05,756,N,VIIRS,50.0,,,3.78,,FIRMS_751145CBF6,331.0,day
10.10864,78.09402,,,,2026-08-05,756,N,VIIRS,50.0,,,3.84,,FIRMS_0A3FA1B459,341.61,day
10.21352,77.844,,,,2026-08-05,756,N,VIIRS,50.0,,,4.9,,FIRMS_9AAAC043AF,333.73,day
15.49071,76.92935,,,,2026-08-05,758,N,VIIRS,50.0,,,3.58,,FIRMS_423B8BD65F,334.81,day
21.1036,72.63686,,,,2026-08-05,758,N,VIIRS,50.0,,,10.09,,FIRMS_E949D6630B,343.75,day
21.10476,72.64249,,,,2026-08-05,758,N,VIIRS,50.0,,,10.09,,FIRMS_AC43AEEF09,332.91,day
21.10591,72.6481,,,,2026-08-05,758,N,VIIRS,50.0,,,15.08,,FIRMS_4C370599A1,343.53,day
26.78024,72.00262,,,,2026-08-05,801,N,VIIRS,50.0,,,12.75,,FIRMS_4E4A849A38,334.45,day
29.4396,90.17079,,,,2026-08-05,801,N,VIIRS,20.0,,,1.82,,FIRMS_343A761761,329.58,day
29.89824,72.57191,,,,2026-08-05,803,N,VIIRS,50.0,,,1.76,,FIRMS_4ADCBF5ECE,331.66,day
30.14267,71.65752,,,,2026-08-05,803,N,VIIRS,50.0,,,2.01,,FIRMS_1384B0ED12,330.39,day
30.31328,71.88339,,,,2026-08-05,803,N,VIIRS,50.0,,,5.13,,FIRMS_F5A056C35B,335.92,day
30.48498,72.10117,,,,2026-08-05,803,N,VIIRS,50.0,,,2.66,,FIRMS_F9A2FEA480,331.29,day
30.52451,71.7824,,,,2026-08-05,803,N,VIIRS,50.0,,,4.9,,FIRMS_9905498D8B,342.37,day
30.62111,71.74289,,,,2026-08-05,803,N,VIIRS,50.0,,,5.85,,FIRMS_F8EFFC25AD,346.32,day
30.65468,72.24837,,,,2026-08-05,803,N,VIIRS,50.0,,,4.42,,FIRMS_E23FEBD96D,340.21,day
